cpu_usage,memory_used,memory_total,disk_used,disk_total,network_in,network_out,timestamp
5.20001,13878607872,16856203264,322801451008,489719926784,5169,1021,2024-11-08T09:23:14.557121900+00:00
1.5221862,13882011648,16856203264,322801451008,489719926784,6966,108,2024-11-08T09:23:15.561657+00:00
9.756531,13887836160,16856203264,322801446912,489719926784,3806,0,2024-11-08T09:23:16.554928200+00:00
11.28019,13884153856,16856203264,322802495488,489719926784,8475,2431,2024-11-08T09:23:17.550592900+00:00
2.3006012,13907959808,16856203264,322802495488,489719926784,2817,2479,2024-11-08T09:23:18.561404400+00:00
3.8721654,13935550464,16856203264,322802495488,489719926784,4541,108,2024-11-08T09:23:19.554906800+00:00
0.97718424,13934424064,16856203264,322802495488,489719926784,1990,597,2024-11-08T09:23:20.562838900+00:00
13.653002,13900636160,16856203264,322802495488,489719926784,2609,2042,2024-11-08T09:23:21.567406600+00:00
16.471224,13867253760,16856203264,322802495488,489719926784,649,162,2024-11-08T09:23:22.557070500+00:00
1.3891072,13855199232,16856203264,322802499584,489719926784,403,2365,2024-11-08T09:23:23.562113900+00:00
1.9707844,13845893120,16856203264,322802499584,489719926784,362,0,2024-11-08T09:23:24.551150800+00:00
1.2758718,13853003776,16856203264,322802499584,489719926784,579,146,2024-11-08T09:23:25.553470700+00:00
1.1645609,13811224576,16856203264,322802630656,489719926784,2286,1030,2024-11-08T09:23:26.561310300+00:00
2.2485507,13801402368,16856203264,322802630656,489719926784,754,218,2024-11-08T09:23:27.553406500+00:00
0.0,13805199360,16856203264,322802630656,489719926784,126,55,2024-11-08T09:23:28.562172100+00:00
2.3846474,13800669184,16856203264,322802630656,489719926784,3273,165,2024-11-08T09:23:29.552768800+00:00
0.8790759,13794111488,16856203264,322802630656,489719926784,1238,55,2024-11-08T09:23:30.559505600+00:00
1.0972022,13786103808,16856203264,322802630656,489719926784,0,0,2024-11-08T09:23:31.549053400+00:00
1.882155,13782532096,16856203264,322802630656,489719926784,168,54,2024-11-08T09:23:32.557731400+00:00
2.5795918,13777289216,16856203264,322802679808,489719926784,5478,94,2024-11-08T09:23:33.550861800+00:00
0.30043897,13770440704,16856203264,322802679808,489719926784,4952,0,2024-11-08T09:23:34.559785300+00:00
0.78787255,13773381632,16856203264,322802679808,489719926784,3956,55,2024-11-08T09:23:35.550076200+00:00
0.5551699,13770043392,16856203264,322802679808,489719926784,4290,0,2024-11-08T09:23:36.560549500+00:00
1.4760596,13770522624,16856203264,322802679808,489719926784,4460,109,2024-11-08T09:23:37.550747300+00:00
1.5965673,13759397888,16856203264,322802679808,489719926784,1924,0,2024-11-08T09:23:38.550574500+00:00
1.0282962,13754638336,16856203264,322802614272,489719926784,5349,0,2024-11-08T09:23:39.561212600+00:00
1.015376,13762977792,16856203264,322802679808,489719926784,6308,162,2024-11-08T09:23:40.553131800+00:00
0.6881154,13751144448,16856203264,322802679808,489719926784,8288,247,2024-11-08T09:23:41.558300300+00:00
1.2577188,13739659264,16856203264,322802679808,489719926784,182,0,2024-11-08T09:23:42.561548300+00:00
2.0209625,13745369088,16856203264,322802692096,489719926784,5940,108,2024-11-08T09:23:43.550355300+00:00
1.5992051,13744001024,16856203264,322802692096,489719926784,2204,0,2024-11-08T09:23:44.554084600+00:00
1.1881979,13743226880,16856203264,322802692096,489719926784,1792,55,2024-11-08T09:23:45.559845100+00:00
2.622101,13730254848,16856203264,322802692096,489719926784,698,0,2024-11-08T09:23:46.553094600+00:00
1.1854903,13721718784,16856203264,322802692096,489719926784,6914,6919,2024-11-08T09:23:47.556927500+00:00
0.5735613,13728886784,16856203264,322802692096,489719926784,2256,194,2024-11-08T09:23:48.564623100+00:00
1.985342,13724663808,16856203264,322802692096,489719926784,2266,0,2024-11-08T09:23:49.556898400+00:00
0.564614,13725995008,16856203264,322802692096,489719926784,2524,530,2024-11-08T09:23:50.560885600+00:00
1.6877891,13721522176,16856203264,322802692096,489719926784,805,2377,2024-11-08T09:23:51.562025300+00:00
10.536673,13758042112,16856203264,322802221056,489719926784,913359,51546,2024-11-08T09:23:52.564461900+00:00
16.16821,13773905920,16856203264,322802221056,489719926784,8062,11164,2024-11-08T09:23:53.559600100+00:00
3.0206697,13766017024,16856203264,322802221056,489719926784,4107,4961,2024-11-08T09:23:54.557021+00:00
